customer_id,name,email,dob,country
05becd1e,Adam Smith,allenjamie@example.com,1992-03-16,Mauritius
be26c562,Jessica Peterson,delacruzsandra@example.net,1993-01-05,Georgia
a5eb18ef,Kimberly Macdonald,irussell@example.org,1947-05-18,Kazakhstan
98558a3f,Jennifer Howe,cnash@example.net,2005-04-18,Costa Rica
3a4d0ae7,Susan Terry,mboyd@example.net,1972-03-14,Venezuela
e4477f1e,Bobby Morse,vmoss@example.org,1963-09-12,France
395e187c,Rachel Pierce,john48@example.net,1947-07-08,Bangladesh
54878b81,Kenneth Jarvis,phughes@example.com,1957-08-21,North Macedonia
e74d2f50,Daniel Phillips,mariobutler@example.org,1968-02-11,Liechtenstein
b94c28e9,Sean Sanchez,nsilva@example.org,1960-07-29,Korea
ef9f18f6,Angela Watson,cbarber@example.net,1945-02-10,Chile
5762c7e0,Christopher Le,loretta74@example.net,1996-01-20,Cuba
06dba6f7,Jared Buckley,linda47@example.com,1969-02-04,Martinique
415a985a,Susan Camacho,bullockdoris@example.net,1987-07-16,Dominica
978164b0,Jennifer Garcia,davidlucas@example.net,1983-10-11,Afghanistan
41a4cb67,Diamond Mckinney,dfoster@example.com,1976-03-16,Latvia
8a753437,Carla Juarez,joshua86@example.com,1978-02-05,Puerto Rico
f07489a2,Megan Brady,orasmussen@example.com,1985-05-16,Faroe Islands
51c914e8,Dalton Christensen,sean10@example.net,1974-05-30,India
c25670d1,Ashley Russell,spreston@example.com,1974-08-07,Holy See (Vatican City State)
d798a4f2,Melvin Simpson,osbornmonica@example.org,1995-03-23,Korea
eae49ac4,Vickie Reed,yfreeman@example.com,1980-04-09,Saint Martin
13cfb7b9,Jeffrey Morris,kelligomez@example.net,1984-07-20,Saint Barthelemy
fa049b7c,Clifford Rivera,vegasamuel@example.org,1984-09-21,Comoros
64cf7150,Becky Parker,fstephens@example.net,1982-04-20,Netherlands
3a2bacec,Joel Johnson,hadams@example.org,1959-10-25,Czech Republic
d9df0afb,Lindsey Smith,jeffreyharris@example.com,2004-03-01,Saint Helena
7657d7d1,Mark Turner,kimberly90@example.com,1980-12-02,Benin
f0de0e82,Troy Rodriguez,dcook@example.net,1950-05-28,Montserrat
856f3ba0,Scott Crawford,cscott@example.org,1970-03-09,Brazil
6bd81d73,Tina Hardy,guzmanmario@example.net,1949-01-27,Cuba
2f63da18,Lisa Martin,adamhuang@example.com,1951-03-19,Panama
19fa885a,Blake Beltran,greenekenneth@example.com,1996-02-03,Kenya
60ed40c7,Kristin Massey,lisavaldez@example.net,1983-12-19,Indonesia
ced76aa1,Brittney Palmer,richard26@example.com,1981-01-31,Malaysia
18e6a86a,Amber Adams,deborahwolfe@example.org,1987-02-06,Liberia
65044f73,Jacob English,ujones@example.net,1995-07-23,Svalbard & Jan Mayen Islands
c792ec15,Christopher Donaldson,garyclayton@example.com,1990-02-12,Botswana
6f06be98,Justin Dennis,torresjulie@example.net,1983-11-08,Benin
8c627083,Vincent Stevens,paulapark@example.net,1962-01-01,Eritrea
