customer_id,name,email,dob,country
05becd1e,Adam Smith,allenjamie@example.com,1992-03-16,MAURITIUS
be26c562,Jessica Peterson,delacruzsandra@example.net,1993-01-05,GEORGIA
a5eb18ef,Kimberly Macdonald,irussell@example.org,1947-05-18,KAZAKHSTAN
98558a3f,Jennifer Howe,cnash@example.net,2005-04-18,COSTA RICA
3a4d0ae7,Susan Terry,mboyd@example.net,1972-03-14,VENEZUELA
e4477f1e,Bobby Morse,vmoss@example.org,1963-09-12,FRANCE
395e187c,Rachel Pierce,john48@example.net,1947-07-08,BANGLADESH
54878b81,Kenneth Jarvis,phughes@example.com,1957-08-21,NORTH MACEDONIA
e74d2f50,Daniel Phillips,mariobutler@example.org,1968-02-11,LIECHTENSTEIN
b94c28e9,Sean Sanchez,nsilva@example.org,1960-07-29,KOREA
ef9f18f6,Angela Watson,cbarber@example.net,1945-02-10,CHILE
5762c7e0,Christopher Le,loretta74@example.net,1996-01-20,CUBA
06dba6f7,Jared Buckley,linda47@example.com,1969-02-04,MARTINIQUE
415a985a,Susan Camacho,bullockdoris@example.net,1987-07-16,DOMINICA
978164b0,Jennifer Garcia,davidlucas@example.net,1983-10-11,AFGHANISTAN
41a4cb67,Diamond Mckinney,dfoster@example.com,1976-03-16,LATVIA
8a753437,Carla Juarez,joshua86@example.com,1978-02-05,PUERTO RICO
f07489a2,Megan Brady,orasmussen@example.com,1985-05-16,FAROE ISLANDS
51c914e8,Dalton Christensen,sean10@example.net,1974-05-30,INDIA
c25670d1,Ashley Russell,spreston@example.com,1974-08-07,HOLY SEE (VATICAN CITY STATE)
d798a4f2,Melvin Simpson,osbornmonica@example.org,1995-03-23,KOREA
eae49ac4,Vickie Reed,yfreeman@example.com,1980-04-09,SAINT MARTIN
13cfb7b9,Jeffrey Morris,kelligomez@example.net,1984-07-20,SAINT BARTHELEMY
fa049b7c,Clifford Rivera,vegasamuel@example.org,1984-09-21,COMOROS
64cf7150,Becky Parker,fstephens@example.net,1982-04-20,NETHERLANDS
3a2bacec,Joel Johnson,hadams@example.org,1959-10-25,CZECH REPUBLIC
d9df0afb,Lindsey Smith,jeffreyharris@example.com,2004-03-01,SAINT HELENA
7657d7d1,Mark Turner,kimberly90@example.com,1980-12-02,BENIN
f0de0e82,Troy Rodriguez,dcook@example.net,1950-05-28,MONTSERRAT
856f3ba0,Scott Crawford,cscott@example.org,1970-03-09,BRAZIL
6bd81d73,Tina Hardy,guzmanmario@example.net,1949-01-27,CUBA
2f63da18,Lisa Martin,adamhuang@example.com,1951-03-19,PANAMA
19fa885a,Blake Beltran,greenekenneth@example.com,1996-02-03,KENYA
60ed40c7,Kristin Massey,lisavaldez@example.net,1983-12-19,INDONESIA
ced76aa1,Brittney Palmer,richard26@example.com,1981-01-31,MALAYSIA
18e6a86a,Amber Adams,deborahwolfe@example.org,1987-02-06,LIBERIA
65044f73,Jacob English,ujones@example.net,1995-07-23,SVALBARD & JAN MAYEN ISLANDS
